2021-06-24 15:05:52 INFO  HepsiburadaPage:23 - Giriş Yapıldı.
2021-06-24 15:05:54 INFO  HepsiburadaPage:30 - E-mail alanı dolduruldu.
2021-06-24 15:05:55 INFO  HepsiburadaPage:37 - Parola alanı dolduruldu.
2021-06-24 15:05:58 INFO  HepsiburadaPage:47 - Giriş yap butonuna tıklandı.
2021-06-24 15:06:49 INFO  HepsiburadaPage:62 - Elektronik menüsüne tıklandı.
2021-06-24 15:06:57 INFO  HepsiburadaPage:68 - Bilgisayar alt menüsüne tıklandı.
2021-06-24 15:06:59 INFO  HepsiburadaPage:75 - Bilgisayar modeli MSI seçildi.
2021-06-24 15:07:08 INFO  HepsiburadaPage:79 - İkinci sayfa açıldı.
2021-06-24 15:07:23 INFO  HepsiburadaPage:86 - İkinci sayfadaki ikinci ürüne tıklandı.
2021-06-24 15:07:25 INFO  HepsiburadaPage:93 - İkinci ürün favorilere eklendi.
2021-06-24 15:08:08 INFO  HepsiburadaPage:105 - Favori listem sayfası açıldı.
2021-06-24 15:08:08 INFO  HepsiburadaPage:110 - Favori listesine eklenen ürün seçildi.
2021-06-24 15:08:09 INFO  HepsiburadaPage:120 - Eklenen ürün favorilerden silindi.
2021-06-24 15:08:09 INFO  HepsiburadaPage:125 - Eklenen ürünü favori listesinden silme işlemi onaylandı.
2021-06-24 15:10:59 INFO  HepsiburadaPage:23 - Giriş Yapıldı.
2021-06-24 15:11:03 INFO  HepsiburadaPage:30 - E-mail alanı dolduruldu.
2021-06-24 15:11:04 INFO  HepsiburadaPage:37 - Parola alanı dolduruldu.
2021-06-24 15:11:07 INFO  HepsiburadaPage:47 - Giriş yap butonuna tıklandı.
2021-06-24 15:11:15 INFO  HepsiburadaPage:62 - Elektronik menüsüne tıklandı.
2021-06-24 15:11:23 INFO  HepsiburadaPage:68 - Bilgisayar alt menüsüne tıklandı.
2021-06-24 15:11:26 INFO  HepsiburadaPage:75 - Bilgisayar modeli MSI seçildi.
2021-06-24 15:11:35 INFO  HepsiburadaPage:79 - İkinci sayfa açıldı.
2021-06-24 15:11:43 INFO  HepsiburadaPage:86 - İkinci sayfadaki ikinci ürüne tıklandı.
2021-06-24 15:11:43 INFO  HepsiburadaPage:93 - İkinci ürün favorilere eklendi.
2021-06-24 15:12:12 INFO  HepsiburadaPage:105 - Favori listem sayfası açıldı.
2021-06-24 15:12:14 INFO  HepsiburadaPage:110 - Favori listesine eklenen ürün seçildi.
2021-06-24 15:12:14 INFO  HepsiburadaPage:120 - Eklenen ürün favorilerden silindi.
2021-06-24 15:12:17 INFO  HepsiburadaPage:130 - Eklenen ürünü favori listesinden silme işlemi onaylandı.
2021-06-24 15:12:21 INFO  HepsiburadaPage:136 - Profilim penceresi açıldı.
2021-06-24 15:12:22 INFO  HepsiburadaPage:141 - Üye çıkış işlemi yapıldı.
2021-06-24 15:13:34 INFO  HepsiburadaPage:23 - Giriş Yapıldı.
2021-06-24 15:13:37 INFO  HepsiburadaPage:30 - E-mail alanı dolduruldu.
2021-06-24 15:13:37 INFO  HepsiburadaPage:37 - Parola alanı dolduruldu.
2021-06-24 15:13:41 INFO  HepsiburadaPage:47 - Giriş yap butonuna tıklandı.
2021-06-24 15:14:15 INFO  HepsiburadaPage:62 - Elektronik menüsüne tıklandı.
